TokenID,coconut,citrus,fish,tobacco,cotton,pig,wood,sugarcane,grain,meat,coconut liquor,crate-packed citrus,crate-packed coconuts,barrel-packed fish,barrel-packed meat,bags,bag-packed tobacco,bag-packed grain,bag-packed cotton,bag-packed sugarcane,clay,bricks,planks,crates,barrels,wild game,stone
24,2.5,2.5,3.5,0.8333,1.5,0.2333,0.1,0,0,0,2.1667,6,6,2,2,0.25,1.6667,1.6667,1.6667,1.6667,0.0875,2.5,0,0,0,0,0.2375
25,4,4,5,0.7,1.4,0.2333,0.1333,0,0,0,1.3333,5.5,5.5,1.8333,1.8333,0.2,1.8333,1.8333,1.8333,1.8333,0,2,0,0,0,0,0
26,2,2,1,0.6,0.8,0.1333,0.1,0,0,0,2.3333,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0,0,0,0,0
27,4.25,4.25,2.5,0.6,0.8,0.1333,0.2167,0,0,0,1.75,5.25,5.25,1.75,1.75,0.325,1.75,1.75,1.75,1.75,0,3.25,0,0,0,1.15,0
28,3,3,4.5,0.9,1.4,0.2333,0.3,0.3,0.45,0,3.3333,6.5,6.5,2.1667,2.1667,0.3,1.1667,1.1667,1.1667,2.3333,0,3,0,0,0,0,0
29,4,4,2.5,0.6,0.8,0.1333,0.1667,0,0,0,2.3333,5,5,1.6667,1.6667,0.3,1.3333,1.3333,1.3333,1.3333,0,3,0,0,0,0,0
30,3,3,1,0.6667,0.8,0.1333,0.1667,0.0667,0.1,0.7,1.6667,5,5,1.6667,1.6667,0.3,8,1.3333,2.6667,1.3333,0.075,3,0,0,0,0,0
31,2.75,2.75,1.5,0.6667,1.2,0.2,0.2167,0,0,0,1.5833,5.75,5.75,1.9167,1.9167,0.275,2.25,2.25,2.25,2.25,0,2.75,0,0,0,0,0
32,3.25,3.25,5,0.8,2,0.3333,0.1833,0,0,0,2.4167,8.25,8.25,2.75,2.75,0.325,2.4167,2.4167,2.4167,2.4167,0,3.25,0,0,0,0,0
33,2.25,2.25,1.5,0.6667,1.2,0.2,0.1833,0,0,0,1.4167,5.25,5.25,1.75,1.75,0.225,2.0833,2.0833,2.0833,2.0833,0,2.25,0,0,0,0,0
34,4.25,4.25,8.5,1.0333,2.7,0.4333,0.0833,0,0,0,2.4167,9.75,9.75,3.25,3.25,0.325,2.25,2.25,2.25,2.25,0.0813,3.25,0,0,0,0,0.2313
35,4.5,4.5,3,0.7333,0.8,0.1333,0.1333,0.1333,0.2,0,1.5,4.5,4.5,1.5,1.5,0.25,1.1667,1.1667,1.1667,1.1667,0,2.5,0,0,0,0,0
36,5.5,5.5,5,0.7,1.4,0.2333,0.2333,0,0,0,2.1667,7,7,2.3333,2.3333,0.35,2.3333,2.3333,2.3333,2.3333,0,3.5,0,0,0,0,0
37,2.5,2.5,4,0.9,1.8,0.3,0.1667,0.2667,0.4,0,1.8333,7,7,2.3333,2.3333,0.25,2.3333,2.3333,2.3333,2.3333,0,2.5,0,0,0,2,0
38,3.25,3.25,2.5,0.6,0.8,0.1333,0.15,0,0,0,1.0833,4.25,4.25,1.4167,1.4167,0.225,1.4167,1.4167,1.4167,1.4167,0,2.25,0,0,0,0,0
39,4.25,4.25,4,0.9333,1.6,0.2667,0.525,0.4,0.6,0,2.4167,8.25,8.25,2.75,2.75,0.425,2.4167,2.4167,2.4167,4.8333,0,4.25,0,0,0,0,0
40,2.25,2.25,2,0.6,0.8,0.1333,0.0833,0,0,0,3.75,4.25,4.25,1.4167,1.4167,0.225,1.0833,1.0833,1.0833,1.0833,0,2.25,0,0,0,1.25,0
41,4.25,4.25,3.5,0.6667,1.2,0.2,0.15,0,0,0,1.0833,6.25,6.25,2.0833,2.0833,0.325,1.4167,1.4167,1.4167,1.4167,0,3.25,0,0,0,0.95,0
42,3.25,3.25,4,0.7667,1.8,0.3,0.15,0,0,0,1.4167,7.75,7.75,2.5833,2.5833,0.325,1.9167,1.9167,1.9167,1.9167,0,3.25,0,0,0,0,0
43,4.75,4.75,4.5,0.7667,1.1,0.4333,0.15,0,0,0,1.5833,5.25,5.25,1.75,1.75,0.275,1.4167,2.8333,1.4167,2.8333,0,2.75,0,0,0,0,0
44,3.75,3.75,1.5,0.6,0.8,0.1333,0.2167,0,0,0,2.25,5.75,5.75,1.9167,1.9167,0.375,1.5833,1.5833,1.5833,1.5833,0,3.75,0,0,0,0,0
45,2,2,1,0.6,0.8,0.1333,1.1,0,0,1.1,1.3333,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0.3,0.2222,0.1,1,0
46,3.75,3.75,2.5,0.6,0.8,0.1333,0.1833,0,0,0,2.25,4.75,4.75,1.5833,1.5833,0.275,1.5833,1.5833,1.5833,1.5833,0,2.75,0,0.9167,0.675,0,0.1437
47,3.5,3.5,3.5,0.8333,1.5,0.2333,0.2,0,0,0,2.1667,7,7,2.3333,2.3333,0.35,2,2,2,2,0.1125,3.5,0,0,0,0,0.2625
48,4,4,1.5,0.6,0.8,0.1333,0.2333,0,0,0,2.3333,6,6,2,2,0.4,1.6667,1.6667,1.6667,1.6667,0,4,0,0,0,0,0
49,2.25,2.25,1,0.6,0.8,0.1333,0.1167,0,0,0,2.4167,4.25,4.25,1.4167,1.4167,0.225,1.0833,1.0833,1.0833,1.0833,0,2.25,0,0,0,0,0
50,3,3,5,0.7667,1.8,0.3,0.1333,0,0,0,2.3333,6.5,6.5,2.1667,2.1667,0.2,2.1667,2.1667,2.1667,2.1667,0,2,0,0,0,0,0
51,4.5,4.5,3.5,0.7667,1.4,0.2333,0.75,0.1,0.15,1.05,1.5,7,7,2.3333,2.3333,0.35,2,2,2,2,0.1125,3.5,0.6,0.3889,0.1125,0,0
52,3,3,1.5,0.6667,1.2,0.2,0.3,0,0,0,1.3333,6,6,2,2,0.3,2.6667,2.6667,2.6667,2.6667,0,3,0,0,0,0,0
53,2.5,2.5,2,0.8667,1.2,0.2,0.35,0.3,0.45,0,1.1667,5.5,5.5,1.8333,1.8333,0.25,1.5,1.5,1.5,3,0,2.5,0,0.8333,0.35,0,0.0875
54,0,0,1.5,0.6667,0.4,0.0667,0.1333,0.0667,0.1,0,1,1,1,0.3333,0.3333,0,1.3333,1.3333,1.3333,1.3333,0,0,0,0,0,0,0
55,4.75,4.75,5.5,0.9,1.9,0.5667,0.15,0,0,0,2.25,7.25,7.25,2.4167,2.4167,0.275,2.0833,4.1667,2.0833,4.1667,0,2.75,0,0,0,0,0
56,2.25,2.25,1.5,0.6667,1.2,0.2,0.1833,0,0,0,1.0833,5.25,5.25,1.75,1.75,0.225,2.0833,2.0833,2.0833,2.0833,0,2.25,0,0,0,0,0
57,2.75,2.75,2.5,0.7667,1,0.1667,0.15,0.1333,0.2,0,1.9167,5.25,5.25,1.75,1.75,0.275,1.4167,1.4167,1.4167,1.4167,0,2.75,0,0,0,0,0
58,3.5,3.5,3.5,0.7333,1.2,0.2,0.45,0.1,0.15,0.75,1.5,5.5,5.5,1.8333,1.8333,0.25,1.8333,1.8333,1.8333,1.8333,0.1125,2.5,0.5,0.2778,0.1125,0,0
59,6.25,6.25,4.5,0.6333,1,0.1667,0.25,0,0,0,3.0833,6.75,6.75,2.25,2.25,0.425,1.9167,1.9167,1.9167,1.9167,0,4.25,0,0,0,0,0
60,3.25,3.25,2,0.6,0.8,0.1333,0.1167,0,0,0,1.4167,4.25,4.25,1.4167,1.4167,0.225,1.0833,1.0833,1.0833,1.0833,0,2.25,0,0,0,0,0
61,3.5,3.5,4.5,0.8,2,0.3333,0.2667,0,0,0,2.5,8.5,8.5,2.8333,2.8333,0.35,2.8333,2.8333,2.8333,2.8333,0,3.5,0,0,0,0.8,0
62,3,3,4.5,0.9,2.2,0.3667,0.2,0.1667,0.25,0.6,1.6667,8.5,8.5,2.8333,2.8333,0.3,15,2.5,5,2.5,0.075,3,0,0,0,0,0
63,2.25,2.25,2.5,0.7333,1.6,0.2667,0.1833,0,0,0,1.0833,6.25,6.25,2.0833,2.0833,0.225,2.4167,2.4167,2.4167,2.4167,0,2.25,0,0,0,0,0
64,3,3,4.5,0.7667,1.8,0.3,0.1667,0,0,0,2.3333,7.5,7.5,2.5,2.5,0.3,2.1667,2.1667,2.1667,2.1667,0,3,0,0,0,1.3,0
65,5,5,4.5,0.6667,1.2,0.2,0.1333,0,0,0,1,6,6,2,2,0.3,1.3333,1.3333,1.3333,1.3333,0,3,0,0,0,0,0
66,2,2,1,0.6,0.8,0.1333,0.1,0,0,0,3,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0,0,0,0,0
67,2.25,2.25,1,0.6,0.8,0.1333,0.1167,0,0,0,2.0833,4.25,4.25,1.4167,1.4167,0.225,1.0833,1.0833,1.0833,1.0833,0,2.25,0,0,0,0,0
68,2.25,2.25,3.5,0.7667,1.4,0.2333,0.0833,0.1,0.15,0.225,2.4167,5.75,5.75,1.9167,1.9167,0.225,1.5833,1.5833,1.5833,1.5833,0.0563,2.25,0,0,0,0,0
69,2,2,3.5,0.5333,0.4,0.0667,0.1333,0,0,0,1.3333,1,1,0.3333,0.3333,0,1.3333,1.3333,1.3333,1.3333,0,0,0,0,0,0,0
70,2.25,2.25,1.5,0.6667,1.2,0.2,0.1833,0,0,0,1.0833,5.25,5.25,1.75,1.75,0.225,2.0833,2.0833,2.0833,2.0833,0,2.25,0,0,0,0,0
71,5.75,5.75,5.5,1,1.45,0.2667,1.075,0,0,1.075,1.25,5.75,5.75,1.9167,1.9167,0.275,1.9167,3.8333,1.9167,1.9167,0.3438,4.75,0.55,0.3056,0.0938,1.35,0
72,5.25,5.25,5.5,0.7333,1.6,0.2667,1.125,0,0,1.125,1.0833,6.25,6.25,2.0833,2.0833,0.225,2.4167,2.4167,2.4167,2.4167,0,2.25,0.55,0.25,0.0813,0,0
73,3.25,3.25,3,0.8,1.3,0.2,0.1833,0,0,0,1.75,6.25,6.25,2.0833,2.0833,0.325,1.75,1.75,1.75,1.75,0.1062,3.25,0,0,0,0,0.2562
74,2.25,2.25,1,0.6,0.8,0.1333,0.1167,0,0,0,1.4167,4.25,4.25,1.4167,1.4167,0.225,1.0833,1.0833,1.0833,1.0833,0,2.25,0,0,0,0,0
75,3,3,3.5,0.8667,1.6,0.2667,0.2,0.2667,0.4,0,1,7,7,2.3333,2.3333,0.3,2,2,2,2,0,3,0,0,0,0,0
76,7.25,7.25,7.5,0.7333,1.6,0.2667,0.1833,0,0,0,2.0833,7.25,7.25,2.4167,2.4167,0.325,2.0833,2.0833,2.0833,2.0833,0,3.25,0,0,0,0,0
77,2,2,1,0.6,0.8,0.1333,0.1,0,0,0,1.3333,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0,0,0,0,0
78,3,3,3.5,1.1,2.05,0.3667,0.1667,0,0,0,2.3333,7.5,7.5,2.5,2.5,0.3,2.1667,4.3333,2.1667,2.1667,0.25,5,0,0,0,1.2,0
79,3.75,3.75,4,0.7667,1.8,0.3,0.2167,0,0,0,1.5833,7.25,7.25,2.4167,2.4167,0.275,2.75,2.75,2.75,2.75,0,2.75,0,0,0,0,0
80,2.75,2.75,5,0.8667,2.4,0.4,1.075,0,0,1.075,1.9167,8.75,8.75,2.9167,2.9167,0.275,2.5833,2.5833,2.5833,2.5833,0,2.75,0.45,0.3056,0.1437,0,0
81,6.75,6.75,6,0.6667,1.2,0.2,0.1833,0,0,0,2.25,6.75,6.75,2.25,2.25,0.375,1.9167,1.9167,1.9167,1.9167,0,3.75,0,0,0,1.55,0
82,4.75,4.75,3.5,1.1667,1.4,0.1667,0.2167,0,0,0,2.25,6.25,6.25,2.0833,2.0833,0.375,1.75,1.75,1.75,1.75,0.2188,5.75,0,0,0,0,0
83,0.75,0.75,1.5,0.5333,0.4,0.0667,0.1833,0,0,0,0.9167,1.75,1.75,0.5833,0.5833,0.075,1.5833,1.5833,1.5833,1.5833,0,0.75,0,0,0,1.05,0
84,4,4,2.5,0.6667,0.8,0.1333,0.1667,0.0667,0.1,0.4,2,5,5,1.6667,1.6667,0.3,8,1.3333,2.6667,1.3333,0.1,3,0,0,0,0,0
85,4.25,4.25,3.5,0.7667,1,0.1667,0.1833,0.1333,0.2,0,1.75,5.75,5.75,1.9167,1.9167,0.325,1.5833,1.5833,1.5833,1.5833,0,3.25,0,0,0,0,0
86,2,2,1.5,0.6667,1.2,0.2,0.1667,0,0,0,1,5,5,1.6667,1.6667,0.2,2,2,2,2,0,2,0,0,0,0,0
87,4,4,3.5,0.9667,1.25,0.2333,0.1333,0,0,0,1.6667,6.5,6.5,2.1667,2.1667,0.4,1.1667,2.3333,1.1667,1.1667,0.225,6,0,0,0,0,0
88,3.5,3.5,2.5,0.6667,1.2,0.2,0.1667,0,0,0,1.8333,6.5,6.5,2.1667,2.1667,0.35,1.5,1.5,1.5,1.5,0,3.5,0,0,0,0,0
89,3,3,2.5,0.6,0.8,0.1333,0.1333,0,0,0,1,4,4,1.3333,1.3333,0.2,1.3333,1.3333,1.3333,1.3333,0,2,0,0,0,0,0
90,0.25,0.25,3,0.6333,1,0.1667,0.15,0,0,0,1.0833,2.75,2.75,0.9167,0.9167,0.025,1.9167,1.9167,1.9167,1.9167,0,0.25,0,0,0,0,0
91,5.25,5.25,4,1.1333,0.8,0.1333,0.1833,0.5333,0.8,0,2.0833,5.25,5.25,1.75,1.75,0.325,1.4167,1.4167,1.4167,1.4167,0,3.25,0,1.0833,0.625,0,0.1563
92,4.75,4.75,3.5,0.6,0.8,0.1333,0.1833,0,0,0,1.5833,4.75,4.75,1.5833,1.5833,0.275,1.5833,1.5833,1.5833,1.5833,0,2.75,0,0,0,0,0
93,0.75,0.75,1.5,0.5333,0.4,0.0667,0.1833,0,0,0,1.25,1.75,1.75,0.5833,0.5833,0.075,1.5833,1.5833,1.5833,1.5833,0,0.75,0,0,0,0,0
94,2.5,2.5,3.5,0.8,1.6,0.2667,0.45,0.1333,0.2,0.95,1.5,6.5,6.5,2.1667,2.1667,0.25,2.1667,2.1667,2.1667,2.1667,0.0875,2.5,0.5,0.2778,0.1125,0,0
95,2.25,2.25,3,0.8,1.6,0.2667,0.15,0.1333,0.2,0.325,2.0833,6.25,6.25,2.0833,2.0833,0.225,1.75,1.75,1.75,1.75,0.0563,2.25,0,0,0,1.65,0
96,4.25,4.25,2.5,0.6,0.8,0.1333,0.1833,0,0,0,2.0833,5.25,5.25,1.75,1.75,0.325,1.4167,1.4167,1.4167,1.4167,0,3.25,0,0,0,1.15,0
97,4.5,4.5,5,0.9,1.8,0.3,0.2,0.2667,0.4,0,1.5,7,7,2.3333,2.3333,0.25,2.6667,2.6667,2.6667,2.6667,0,2.5,0,0,0,0,0
98,2.5,2.5,1.5,0.6667,1.2,0.2,0.2,0,0,0,1.1667,5.5,5.5,1.8333,1.8333,0.25,2.1667,2.1667,2.1667,2.1667,0,2.5,0,0,0,0.7,0
99,2.75,2.75,3,0.8,1.3,0.2,0.15,0,0,0,1.5833,5.75,5.75,1.9167,1.9167,0.275,1.5833,1.5833,1.5833,1.5833,0.0938,2.75,0,0,0,0,0.2437
100,2.25,2.25,1.5,0.6,0.8,0.1333,0.15,0,0,0,1.0833,4.25,4.25,1.4167,1.4167,0.225,1.4167,1.4167,1.4167,1.4167,0,2.25,0,0,0,0,0
101,2,2,5,0.8333,2.2,0.3667,0.8,0,0,0.8,2,7.5,7.5,2.5,2.5,0.2,2.5,2.5,2.5,2.5,0,2,0.4,0.2222,0.15,0,0
102,2,2,1.5,0.7333,0.8,0.1333,0.1333,0.1333,0.2,0,1,4,4,1.3333,1.3333,0.2,1.3333,1.3333,1.3333,1.3333,0,2,0,0,0,0,0
103,4.5,4.5,5,0.9333,1.6,0.2667,0.35,0.4,0.6,0,1.1667,6.5,6.5,2.1667,2.1667,0.25,1.8333,1.8333,1.8333,3.6667,0,2.5,0,0.8333,0.35,0,0.1375
104,4.25,4.25,1.5,0.6,0.8,0.1333,0.25,0,0,0,2.75,6.25,6.25,2.0833,2.0833,0.425,1.75,1.75,1.75,1.75,0,4.25,0,0,0,0,0
105,4.75,4.75,5.5,0.7333,1.6,0.2667,0.1833,0,0,0,1.9167,6.75,6.75,2.25,2.25,0.275,2.25,2.25,2.25,2.25,0,2.75,0,0,0,1.35,0
106,2.75,2.75,3.5,0.5333,0.4,0.0667,0.1833,0,0,0,0.9167,1.75,1.75,0.5833,0.5833,0.075,1.5833,1.5833,1.5833,1.5833,0,0.75,0,0,0,0,0
107,3,3,3.5,1.2,0.5,0.3333,0.2,0.3333,0.5,0,1,2,2,0.6667,0.6667,0.1,1.6667,3.3333,1.6667,3.3333,0,1,0,0,0,0,0
108,2.5,2.5,1,0.6,0.8,0.1333,0.1333,0,0,0,2.5,4.5,4.5,1.5,1.5,0.25,1.1667,1.1667,1.1667,1.1667,0,2.5,0,0,0,0.6,0
109,2.25,2.25,2.5,0.6,0.4,0.0667,0.2833,0.0333,0.05,0.625,1.0833,2.25,2.25,0.75,0.75,0.125,12.5,2.0833,4.1667,2.0833,0.1812,1.25,0,0,0,0,0
110,0.25,0.25,1.5,0.5333,0.4,0.0667,0.15,0,0,0,1.0833,1.25,1.25,0.4167,0.4167,0.025,1.4167,1.4167,1.4167,1.4167,0,0.25,0,0,0,1.55,0
111,6,6,7.5,0.8333,2.2,0.3667,1.1,0,0,1.1,2,8.5,8.5,2.8333,2.8333,0.3,2.5,2.5,2.5,2.5,0,3,0.5,0.3333,0.15,0,0
112,3.5,3.5,1.5,0.6667,0.8,0.1333,0.2,0.0667,0.1,0.45,2.1667,5.5,5.5,1.8333,1.8333,0.35,9,1.5,3,1.5,0.0875,3.5,0,0,0,0,0
113,5.5,5.5,7,0.7333,1.6,0.2667,1.05,0,0,1.05,1.5,6.5,6.5,2.1667,2.1667,0.25,1.8333,1.8333,1.8333,1.8333,0,2.5,0.4,0.2778,0.1125,0,0
114,3.5,3.5,1.5,0.6,0.8,0.1333,0.2,0,0,0,2.5,5.5,5.5,1.8333,1.8333,0.35,1.5,1.5,1.5,1.5,0,3.5,0,0,0,0,0
115,1.25,1.25,2.5,0.5333,0.4,0.0667,0.15,0,0,0,1.4167,1.25,1.25,0.4167,0.4167,0.025,1.4167,1.4167,1.4167,1.4167,0,0.25,0,0,0,0,0
116,3.25,3.25,3.5,0.7667,1.1,0.1667,0.0833,0,0,0,1.75,5.75,5.75,1.9167,1.9167,0.325,0.9167,0.9167,0.9167,0.9167,0.0563,3.25,0,0,0,0,0.2062
117,3,3,2.5,1.1667,1.4,0.1667,0.1667,0,0,0,1.6667,5.5,5.5,1.8333,1.8333,0.3,1.5,1.5,1.5,1.5,0.175,5,0,0,0,0,0
118,4.5,4.5,1.5,0.6,0.8,0.1333,0.2667,0,0,0,2.5,6.5,6.5,2.1667,2.1667,0.45,1.8333,1.8333,1.8333,1.8333,0,4.5,0,0,0,0,0
119,4.25,4.25,2.5,0.7667,1.1,0.1667,0.25,0,0,0,2.4167,6.75,6.75,2.25,2.25,0.425,1.9167,1.9167,1.9167,1.9167,0.1313,4.25,0,0,0,0,0.2813
120,0.75,0.75,1.5,0.5333,0.4,0.0667,0.25,0,0,0,0.9167,1.75,1.75,0.5833,0.5833,0.075,1.9167,1.9167,1.9167,1.9167,0,0.75,0,0,0,0,0
121,2,2,2.5,0.7333,1.6,0.2667,0.2333,0,0,0,1.6667,6,6,2,2,0.2,2.6667,2.6667,2.6667,2.6667,0,2,0,0,0,0,0
122,3.25,3.25,6,0.8,2,0.3333,0.0833,0,0,0,2.4167,8.25,8.25,2.75,2.75,0.325,1.75,1.75,1.75,1.75,0,3.25,0,0,0,1.35,0
123,4.75,4.75,6,0.7333,1.6,0.2667,0.575,0,0,0.775,2.25,6.75,6.75,2.25,2.25,0.275,1.9167,1.9167,1.9167,1.9167,0,2.75,0.45,0.3056,0.1688,0,0
124,4,4,1.5,0.6,0.8,0.1333,0.2333,0,0,0,2.3333,6,6,2,2,0.4,1.6667,1.6667,1.6667,1.6667,0,4,0,0,0,0,0
125,4,4,3,0.6,0.8,0.1333,0.1,0,0,0,2,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0,0,0,0,0
126,3.25,3.25,2.5,0.7333,1.2,0.2,0.15,0.1,0.15,0.525,1.0833,6.25,6.25,2.0833,2.0833,0.325,8.5,1.4167,2.8333,1.4167,0.0563,3.25,0,0,0,0,0
127,4,4,2.5,0.6,0.8,0.1333,0.2,0,0,0,1.3333,5,5,1.6667,1.6667,0.3,1.6667,1.6667,1.6667,1.6667,0,3,0,0,0,0,0
128,2.25,2.25,2.5,0.7333,1.6,0.2667,0.1833,0,0,0,1.0833,6.25,6.25,2.0833,2.0833,0.225,2.4167,2.4167,2.4167,2.4167,0,2.25,0,0,0,0,0
129,3,3,1,0.9333,1.05,0.2,0.1667,0,0,0,1.6667,5,5,1.6667,1.6667,0.3,1.3333,2.6667,1.3333,1.3333,0.25,5,0,0,0,0,0
130,3,3,1.5,0.6,0.8,0.1333,0.9,0,0,0.9,2,5,5,1.6667,1.6667,0.3,1.3333,1.3333,1.3333,1.3333,0,3,0.5,0.3333,0.15,0,0
131,5.25,5.25,7,0.7333,1.6,0.2667,0.0833,0,0,0,2.0833,7.25,7.25,2.4167,2.4167,0.325,1.4167,1.4167,1.4167,1.4167,0,3.25,0,0,0,0,0
132,2.75,2.75,1.5,0.7333,1.2,0.2,0.2167,0.1,0.15,0.675,1.25,5.75,5.75,1.9167,1.9167,0.275,13.5,2.25,4.5,2.25,0.1187,2.75,0,0,0,0,0
133,4.5,4.5,4.5,0.6333,1,0.1667,0.1,0,0,0,2.1667,6,6,2,2,0.35,1,1,1,1,0,3.5,0,0,0,0,0
134,3.75,3.75,1.5,0.6,0.8,0.1333,0.2167,0,0,0,2.5833,5.75,5.75,1.9167,1.9167,0.375,1.5833,1.5833,1.5833,1.5833,0,3.75,0,0,0,0,0
135,2.75,2.75,1.5,0.8667,0.9,0.4,0.1833,0.2,0.3,0,1.25,4.75,4.75,1.5833,1.5833,0.275,1.5833,3.1667,1.5833,3.1667,0,2.75,0,0,0,0,0
136,2.75,2.75,2.5,0.7667,1.1,0.1667,0.1167,0,0,0,2.25,5.25,5.25,1.75,1.75,0.275,1.4167,1.4167,1.4167,1.4167,0.0938,2.75,0,0,0,0,0.2437
137,3.75,3.75,2.5,0.7,1.4,0.2333,0.25,0,0,0,1.9167,7.25,7.25,2.4167,2.4167,0.375,2.0833,2.0833,2.0833,2.0833,0,3.75,0,0,0,2.15,0
138,0,0,2.5,0.6,0.8,0.1333,0.1333,0,0,0,0.6667,2,2,0.6667,0.6667,0,1.6667,1.6667,1.6667,1.6667,0,0,0,0,0,0.9,0
139,4.75,4.75,5.5,0.7,1.4,0.2333,0.1167,0,0,0,1.9167,6.25,6.25,2.0833,2.0833,0.275,1.75,1.75,1.75,1.75,0,2.75,0,0,0,0,0
140,3,3,2,0.7333,0.9,0.4,0.1,0,0,0,2,4,4,1.3333,1.3333,0.2,1,2,1,2,0,2,0,0,0,0,0
141,6,6,8.5,0.8333,2.2,0.3667,0.1,0,0,0,2.3333,7.5,7.5,2.5,2.5,0.2,2.1667,2.1667,2.1667,2.1667,0,2,0,0,0,0,0
